,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Hagenplatz,52.48330680715881,13.266409635543823,Plaza
1,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Schlosshotel im Grunewald,52.480190968390076,13.274295187243435,Hotel
2,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Reinhards Landhaus,52.482858628321324,13.264800310134888,German Restaurant
3,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Wiener am Hagenplatz,52.483740318875434,13.267297958854265,Café
4,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Bosco Verde,52.482562493648395,13.266436064796624,Italian Restaurant
5,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Ristorante Capriccio,52.48384040705229,13.266961754096908,Italian Restaurant
6,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Europäische Akademie Berlin,52.484547676838204,13.269774477912257,Hotel
7,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,Hundekehlesee,52.482623409172774,13.258566856384276,Lake
8,Charlottenburg-Wilmersdorf,52.481136863814974,13.266256662001547,"Lawn Tennis Turnier Club ""Rot-Weiss""",52.48441849642843,13.259106207826989,Sports Club
9,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Drachenberg,52.50259438511879,13.249834009043285,Mountain
10,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Abhörstation Teufelsberg,52.49798657287756,13.240552845820885,Historic Site
11,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Kletterturm Teufelsberg,52.49972769654335,13.245145664244905,Rock Climbing Spot
12,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Tennisplatz TU Berlin,52.50055421797661,13.259158990009293,Tennis Court
13,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Hans-Rosenthal-Sportanlage,52.49567630986659,13.25979794343202,Baseball Field
14,Charlottenburg-Wilmersdorf,52.498892245710344,13.250825520847508,Verein für Körperkultur 1901,52.497420224687005,13.260982041077087,Tennis Court
15,Charlottenburg-Wilmersdorf,52.49867362296311,13.236101642326851,Teufelsberg,52.49636354874218,13.2400490918822,Mountain
16,Charlottenburg-Wilmersdorf,52.49867362296311,13.236101642326851,Postfenn,52.49892895764439,13.232581615447998,Nature Preserve
17,Charlottenburg-Wilmersdorf,52.498230883509684,13.206654456764614,"Restaurantschiff ""Alte Liebe""",52.50144676364054,13.20855975151062,Seafood Restaurant
18,Charlottenburg-Wilmersdorf,52.498230883509684,13.206654456764614,Hundestrand Pichelswerder,52.5034093139145,13.205631024545214,Dog Run
19,Charlottenburg-Wilmersdorf,52.498230883509684,13.206654456764614,H Am Postfenn,52.500726,13.209459,Bus Stop
20,Charlottenburg-Wilmersdorf,52.498230883509684,13.206654456764614,Klub Am Rupenhorn,52.5026508943106,13.213142229274785,Harbor / Marina
21,Charlottenburg-Wilmersdorf,52.498230883509684,13.206654456764614,Yachthafen Schildhorn,52.495167,13.198317,Harbor / Marina
22,Charlottenburg-Wilmersdorf,52.498006766912454,13.191931152885527,Wirtshaus Schildhorn,52.49410573764473,13.197480416043582,Beer Garden
23,Charlottenburg-Wilmersdorf,52.498006766912454,13.191931152885527,Marina Lanke,52.501977800134185,13.187044805680866,Harbor / Marina
24,Charlottenburg-Wilmersdorf,52.498006766912454,13.191931152885527,Bootstankstelle Berlin,52.5029499,13.187178700000004,Boat or Ferry
25,Charlottenburg-Wilmersdorf,52.498006766912454,13.191931152885527,Seehotel Grunewald,52.49335547427712,13.19759469373364,Hotel
26,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Wochenmarkt Karl-August-Platz,52.50865,13.311159,Farmers Market
27,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,myThais,52.50914047789232,13.30955094917794,Thai Restaurant
28,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Karun Bistro,52.507869516319076,13.308000388589877,Persian Restaurant
29,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Hugendubel,52.50865400000001,13.306302,Bookstore
30,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Restaurant Biscotti,52.50774576735334,13.311113023779724,Italian Restaurant
31,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Waffle Brothers,52.50655104765714,13.309838055798608,Pie Shop
32,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Thomas-Eck,52.50792384711569,13.309406546182101,German Restaurant
33,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Son Kitchen,52.50646241584248,13.311681855206649,Korean Restaurant
34,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Shiso Burger,52.506668145094004,13.309393129343677,Burger Joint
35,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Mezem,52.506427350606145,13.311357987051466,Mediterranean Restaurant
36,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Cantinetta,52.508895513060075,13.307011663734198,Italian Restaurant
37,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Deutsche Oper Berlin,52.51208788120579,13.308354020118713,Opera House
38,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Hema,52.508058,13.307619,Department Store
39,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Mitte Meer,52.5063678420333,13.31271074971485,Gourmet Shop
40,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Uudam,52.506382,13.309437,Vietnamese Restaurant
41,Charlottenburg-Wilmersdorf,52.5087346921418,13.30937808618226,Hamy Sophie Kinh Moi,52.51073084483932,13.305447639235856,Asian Restaurant
