,id,unique_id,Name,strasse_nr,Postal Code,Category,angebot,Delivery,beschreibung_lieferangebot,Takeaway,angebot_selbstabholung,fon,w3,mail,montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag
0,2821,963,sagrantino 136,Linienstraße 136,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Italian fusion kitchen  3 -course menus by Matias Diaz  auch  a la  carte möglich zu  bestellen  , mit dem passenden Wein.",False,,True,"Abholungen vor Ort zwischen 15 bis 20 Uhr, bitte  20 min vorher anrufen.",493027909683.0,https://www.sagrantino136.com,booking@sagrantino136.com,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,
1,1801,617,Büroshop Koschel,Invalidenstraße 154,10115,Office Supplies,Schreib- und Spielwarenladen,True,,False,,49302859659.0,https://www.claireshop.de,info@claireshop.de,,,,,,,
2,3595,1227,CAFE RIBO,Ackerstraße 157,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Maultaschen, schwäbische küche, cafe",False,,True,,4917621455203.0,https://www.caferibo.de,,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,,
3,526,177,Alpenstück,Gartenstraße 9,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Süddeutsche Spezialitäten wie Maultaschen Königsberger Klopse, Spätzle, Gulasch, Suppen",False,,True,wir bereiten täglich ein Mittagsgericht zum Abholen zu,493021751646.0,https://alpenstueck.de,info@alpenstueck.de,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00
4,787,270,Risorante Bonfini,Chausseestraße 15,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Italienische Küche, Pasta und Pizza",False,,True,,493095614848.0,https://www.bonfini.de,bestellung@bonfini.de,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00
5,3349,1144,Distrikt Coffee,Bergstraße 68,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Specialty coffee, drinks, brunch, lunch, pastries and cakes",True,2km radius.,True,Jeden Tag 10-16 Uhr,4917643271897.0,https://www.distriktcoffee.de,info@distriktcoffee.de,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00
6,58,20,Restaurant einsunternull,Hannoversche Straße 1,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)",Berliner Proviant Box mit Wein,True,Lieferungen werden per DHL an Sie versendet,False,,493027577810.0,https://restaurant-einsunternull.de/produkt/berliner-proviant/,kontakt@einsunternull.com,,,,,,,
7,3649,1245,Tigertörtchen - Berlin Cupcakes,Chausseestraße 60,10115,Other,"Konditorei, spezialisiert auf Cucpakes, Cake-Pops, Macarons, Torten sowie Kaffeespezialitäten.",True,Vergünstigte Lieferung zu besonderen Terminen. Ansonsten persönliche Lieferung bei Vorabbestellung.,True,"Abholung von Cupcakes, Cake-Pops und Macarons täglich zwischen 08:00 Uhr und 18:00 Uhr. Keine Vorbestellung notwendig.",493067969051.0,https://www.tigertoertchen.de,info@tigertoertchen.de,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00
8,580,195,Cafe Hermann Eicke,Brunnenstraße 45,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","Kaffee,Backwaren, Mittagslunch",False,,True,,493088538222.0,https://hermanneicke.de,cafe@hermanneicke.de,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00
9,3400,1162,Chicago Williams Berlin-Mitte GmbH,Hannoversche Straße 2,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)",BBQ Menü,True,Unsere aktuellen Liefergebiete werden auf unsere Webseite veröffentlicht,True,Bestellungen und Abholen zw. 12:00 - 21:00 Uhr,493028042423.0,https://chicagowilliamsbbq.de/,office@chicagowilliamsbbq.com,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00
10,3148,1076,housekeeping - Haushaltswaren | home & living,Invalidenstraße 152,10115,Household,Wohnaccessoires & Praktisches für den Haushalt. waschen - trocknen - bügeln - aufbewahren - ordnen.  Ganz schön praktisch!,True,Abholung oder Lieferung nachhause und nach Vereinbarung. Lieferungen nur in PLZ 10115,True,Abholung oder Lieferung nachhause und nach Vereinbarung,4917651507809.0,https://berlin-housekeeping.de,info@berlin-housekeeping.de,,,,,,,
11,3406,1164,eins essenundtrinken,eichendorffstraße 1,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)","regional nicht festgelegt, taeglich wechselnder mittagstisch",False,,True,to go' jeweils ab 12h mittags - bestellannahme telefonisch ab 10h - 992 78 701,493099278701.0,,,10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00,10:00-15:00,,
12,856,296,Nhat Long Restaurant,Torstraße 210,10115,"Food service (Café, Restaurant, Diner, Grocery, etc.)",Asiatische Küche,True,Online Essen auf nhatlong-lieferservice.de oder über unser App bestellen.,True,Telefonisch vorbestellen,493067962236.0,https://www.nhat-long.de,kontakt@nhat-long.de,11:30-22:45,11:30-22:45,11:30-22:45,11:30-22:45,11:30-23:00,11:30-23:00,11:30-23:00
