,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Die Wühlmäuse,52.50882953708777,13.27073335647583,Comedy Club
1,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,rbb Dachlounge,52.50857486674797,13.274778127670288,Rooftop Bar
2,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Block House,52.50939337436111,13.27095796347855,Steakhouse
3,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Lindenwirtin,52.51033483725336,13.271707068159364,German Restaurant
4,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Berliner Funkturm,52.50503588462882,13.278152346611023,Scenic Lookout
5,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,REWE CITY,52.51017102,13.27273302,Supermarket
6,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Hotel Villa Kastania,52.510310204768956,13.26822290270997,Hotel
7,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Mateo-Looi Sushi Restaurant,52.5115295631979,13.268427952315353,Chinese Restaurant
8,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,China Restaurant Panda III,52.50649442642958,13.280186547528164,Asian Restaurant
9,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Prime Chicken,52.51023864746094,13.271011352539062,Fried Chicken Joint
10,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Sommergarten,52.5051203463786,13.273801803588865,Garden
11,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,T.Viet,52.51017753195876,13.28241834350102,Vietnamese Restaurant
12,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,La Victoria,52.51057943416563,13.270550398480966,Italian Restaurant
13,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Piccolo Mondo,52.51235548979211,13.267806432067728,Italian Restaurant
14,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Lietzenseepark,52.50519871279926,13.286676406860352,Park
15,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Rasas,52.51209979648858,13.264463509284983,Indian Restaurant
16,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Das Bowling Studio,52.50972452908758,13.277372469135384,Bowling Alley
17,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Osteria I Due,52.50970734729362,13.273932552850338,Trattoria/Osteria
18,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Hotel Brandies,52.51000435479899,13.280844930156453,Hotel
19,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,BIO COMPANY,52.512500872153744,13.26748890695235,Organic Grocery
20,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Adik's Stehcafe,52.50788884366084,13.258130836747545,Café
21,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Prime Kebap,52.51026227782016,13.271246157794886,Falafel Restaurant
22,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Café Dreikäsehoch Kaiserdamm 20,52.51050118268362,13.286338448524473,Dessert Shop
23,Charlottenburg-Wilmersdorf,52.50796263682948,13.272750785323504,Paella,52.50711,13.28389,Mexican Restaurant
