,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adlershof,52.43781081171506,13.543297454882161,Griechisches Restaurant Athen,52.43490141197407,13.54667973532164,Greek Restaurant
1,Adlershof,52.43781081171506,13.543297454882161,Mia Toscana,52.438327488867266,13.54957253159197,Italian Restaurant
2,Adlershof,52.43781081171506,13.543297454882161,dm-drogerie markt,52.43761111640399,13.547728207453702,Drugstore
3,Adlershof,52.43781081171506,13.543297454882161,Trattoria Il Mondo,52.434788,13.543176,Trattoria/Osteria
4,Adlershof,52.43781081171506,13.543297454882161,EDEKA,52.4383455,13.5483317,Supermarket
5,Adlershof,52.43781081171506,13.543297454882161,Adlershofer Tor,52.436867029001164,13.539035812813738,Shopping Mall
6,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Arjun,52.54830899865499,13.500725993894742,Indian Restaurant
7,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Kaufland,52.54827840968082,13.503457172023653,Big Box Store
8,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Rossmann,52.54818765241391,13.504583915791196,Drugstore
9,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Storchenback & Café,52.547795971118255,13.50449227148548,Coffee Shop
10,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Post / Postbank,52.548706286716694,13.504040096325141,Post Office
11,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,Action,52.548214,13.504604,Discount Store
12,Alt-Treptow,52.489553671283915,13.44951689433044,Neue Republik Reger,52.49034578063774,13.44900369644165,Vegetarian / Vegan Restaurant
13,Alt-Treptow,52.489553671283915,13.44951689433044,Passenger Coffee,52.487445322148886,13.4524220197121,Café
14,Alt-Treptow,52.489553671283915,13.44951689433044,Farina,52.491661,13.446347,Pizza Place
15,Alt-Treptow,52.489553671283915,13.44951689433044,mom's Creation,52.48904876640502,13.453765345873867,Vegetarian / Vegan Restaurant
16,Alt-Treptow,52.489553671283915,13.44951689433044,Il Sogno,52.49071126332193,13.448221244882069,Italian Restaurant
17,Alt-Treptow,52.489553671283915,13.44951689433044,Wildenbruch Bar,52.48649057710639,13.446346341267697,Pub
18,Alt-Treptow,52.489553671283915,13.44951689433044,Goldelsen,52.48838421888869,13.453120260191566,Café
19,Alt-Treptow,52.489553671283915,13.44951689433044,Treptower Klause,52.49271830341639,13.444954615594341,German Restaurant
20,Alt-Treptow,52.489553671283915,13.44951689433044,LPG BioMarkt,52.49217171114259,13.451129356252247,Organic Grocery
21,Alt-Treptow,52.489553671283915,13.44951689433044,Tapas No. 6,52.49013271724425,13.456731572320841,Tapas Restaurant
22,Alt-Treptow,52.489553671283915,13.44951689433044,Hindi Restaurant,52.48910549143887,13.451454536241837,Indian Restaurant
23,Alt-Treptow,52.489553671283915,13.44951689433044,Fritzze,52.49107143555717,13.44759761296911,Ice Cream Shop
24,Alt-Treptow,52.489553671283915,13.44951689433044,NK,52.4861079232943,13.448391801255706,Music Venue
25,Alt-Treptow,52.489553671283915,13.44951689433044,Zimt & Mehl Manufaktur,52.49043405267648,13.456163414896569,Café
26,Alt-Treptow,52.489553671283915,13.44951689433044,Ofenrausch,52.491191,13.449673,Bistro
27,Alt-Treptow,52.489553671283915,13.44951689433044,T.viet,52.49029022056749,13.455825045080122,Vietnamese Restaurant
