,Neighborhood,Latitude,Longitude,Area
0,Adlershof,52.43781081171506,13.543297454882161,6.128075225714616
1,Alt-Hohenschönhausen,52.54865433152076,13.504252900907009,9.352685228545475
2,Alt-Treptow,52.489553671283915,13.44951689433044,2.3139415418204488
3,Altglienicke,52.41070194076076,13.54351028358779,7.876912733723547
4,Baumschulenweg,52.4578600816797,13.467906725395558,4.82411870899542
5,Biesdorf,52.5042368923981,13.557603965938913,12.442222031322158
6,Blankenburg,52.594035303178444,13.461721998139904,6.0616492877955865
7,Blankenfelde,52.62420135210748,13.399163190389348,13.270857945015175
8,Bohnsdorf,52.40193265894668,13.567802121892331,6.524374383167696
9,Borsigwalde,52.58473613801057,13.307061538638767,2.043623039504325
10,Britz,52.443998485242204,13.435511574402996,12.392902658707118
11,Buch,52.647545566285785,13.474536245371363,18.243044229084674
12,Buckow,52.419115004512626,13.427557230906716,6.348899223359751
13,Charlottenburg,52.5155497549019,13.30970869308101,10.596593913552557
14,Charlottenburg-Nord,52.53952249415007,13.299935872934956,6.199409938065128
15,Dahlem,52.45616934548006,13.278471323210491,8.394847148077238
16,Falkenberg,52.57685250171477,13.552657260375877,3.053036413025673
17,Falkenhagener Feld,52.55250046690626,13.16898602886217,6.876050931920614
18,Fennpfuhl,52.53161400721214,13.473862032041925,2.122568348088302
19,Französisch,52.611293946073275,13.432990324744841,12.032138458821889
20,Friedenau,52.47147348200186,13.32883953088205,1.6550827065202274
21,Friedrichsfelde,52.50260738420366,13.51780998628601,5.837245742108778
22,Friedrichshagen,52.458335285220144,13.636237037495928,14.033667983461726
23,Friedrichshain,52.508455001032694,13.451964836104947,9.949754377678842
24,Frohnau,52.64274930121972,13.296697649168884,7.839865808431095
25,Gatow,52.48401287555123,13.164144211761403,10.112385100686213
26,Gesundbrunnen,52.55041239397168,13.383636722016691,6.1268354107958825
27,Gropiusstadt,52.42814920549097,13.460356272952705,2.6692562175608896
28,Grunewald,52.48580312573873,13.239054703562058,22.353925946279347
29,Grünau,52.403732158227754,13.607505113262235,9.141942550404911
30,Hakenfelde,52.57109828624448,13.189062279598339,20.380777829618257
31,Halensee,52.49569484568019,13.29293110804064,1.2668507565612759
32,Hansaviertel,52.518227766474425,13.341082773517808,0.528296053855755
33,Haselhorst,52.548959432197464,13.2296547865235,4.522355241949772
34,Heiligensee,52.61080625396372,13.230861109633425,10.689321218336174
35,Heinersdorf,52.56983344094489,13.443360241895164,3.853680471494393
36,Hellersdorf,52.53097646446303,13.605754084676315,8.14696277968343
37,Hermsdorf,52.6144567934101,13.310034300212575,6.059298557498766
38,Johannisthal,52.44332296217827,13.5064635736714,6.521962510300382
39,Karlshorst,52.48311732732742,13.52517975320536,6.548948832527516
40,Karow,52.61209127395695,13.476264880564182,6.608629329709352
41,Kaulsdorf,52.501818369953206,13.587503273078775,8.688223820000482
42,Kladow,52.46237467870009,13.148193689030602,14.778705799904502
43,Konradshöhe,52.58112472203517,13.222662048819448,2.1884532001109216
44,Kreuzberg,52.49654260023186,13.409381247775645,10.377353534297953
45,Köpenick,52.441425309575386,13.59879476274952,34.869713039704074
46,Lankwitz,52.4303727327443,13.351641787961842,6.989841975670808
47,Lichtenberg,52.52064786307899,13.49571535206502,7.202671572797115
48,Lichtenrade,52.39712675991163,13.402395428662913,10.051653790595022
49,Lichterfelde,52.429124191200025,13.305135113037737,18.231002653666817
50,Lübars,52.61560378015851,13.352767989810449,5.010919903564493
