,PLZ,Ortsteil
0,10115,Mitte
1,10117,Mitte
2,10119,Mitte
3,10178,Mitte
4,10179,Mitte
5,10243,"Friedrichshain,Friedrichshain"
6,10247,"Friedrichshain,Prenzlauer Berg"
7,10249,"Friedrichshain,Prenzlauer Berg"
8,10315,Friedrichsfelde
9,10317,"Friedrichsfelde,Lichtenberg,Rummelsburg"
10,10318,"Friedrichsfelde,Karlshorst"
11,10319,Friedrichsfelde
12,10365,Lichtenberg
13,10367,Lichtenberg
14,10369,Lichtenberg
15,10405,Prenzlauer Berg
16,10407,Prenzlauer Berg
17,10409,Prenzlauer Berg
18,10435,"Mitte,Prenzlauer Berg"
19,10437,Prenzlauer Berg
20,10439,"Pankow,Prenzlauer Berg"
21,10551,Tiergarten
22,10553,Tiergarten
23,10555,Tiergarten
24,10557,Tiergarten
25,10559,Tiergarten
26,10585,Charlottenburg
27,10587,Charlottenburg
28,10589,Charlottenburg
29,10623,Charlottenbrg. (City-West)
30,10625,Charlottenbrg. (City-West)
31,10627,Charlottenbrg. (City-West)
32,10629,Charlottenbrg. (City-West)
33,10707,"Charlottenburg,Wilmersdorf"
34,10709,"Charlottenburg,Wilmersdorf"
35,10711,"Charlottenburg,Grunewald,Wilmersdorf"
36,10713,Wilmersdorf
37,10715,Wilmersdorf
38,10717,Wilmersdorf
39,10719,"Wilmersdorf,Charlottenburg"
40,10777,"Wilmersdorf,Schöneberg"
41,10779,"Schöneberg,Wilmersdorf"
42,10781,Schöneberg
43,10783,Schöneberg
44,10785,"Kreuzberg,Schöneberg,Tiergarten"
45,10787,"Charlottenburg,Schöneberg,Tiergarten"
46,10789,"Charlottenburg,Schöneberg,Wilmersdorf"
47,10823,Schöneberg
48,10825,"Schöneberg,Wilmersdorf"
49,10827,"Friedenau,Schöneberg"
50,10829,Schöneberg
51,10961,Kreuzberg
52,10963,"Kreuzberg,Tiergarten"
53,10965,"Kreuzberg,Schöneberg,Tempelhof,Neukölln"
54,10967,"Kreuzberg,Neukölln"
55,10969,Kreuzberg
56,10997,Kreuzberg
57,10999,Kreuzberg
58,12043,Neukölln
59,12045,Neukölln
60,12047,Neukölln
61,12049,Neukölln
62,12051,Neukölln
63,12053,Neukölln
64,12055,Neukölln
65,12057,Neukölln
66,12059,Neukölln
67,12099,"Britz,Mariendorf,Neukölln,Tempelhof"
68,12101,Tempelhof
69,12103,"Mariendorf,Schöneberg,Tempelhof"
70,12105,"Schöneberg,Tempelhof,Mariendorf"
71,12107,"Lichtenrade,Mariendorf,Marienfelde,Tempelhof,Buckow"
72,12109,"Tempelhof,Mariendorf"
73,12157,"Friedenau,Schöneberg,Steglitz"
74,12159,"Friedenau,Schöneberg"
75,12161,"Friedenau,Steglitz"
76,12163,"Friedenau,Steglitz"
77,12165,Steglitz
78,12167,Steglitz
79,12169,Steglitz
80,12203,Lichterfelde
81,12205,Lichterfelde
82,12207,Lichterfelde
83,12209,Lichterfelde
84,12247,"Lankwitz,Steglitz"
85,12249,Lankwitz
86,12277,"Mariendorf,Marienfelde"
87,12279,"Lichterfelde,Marienfelde"
88,12305,"Buckow,Lichtenrade"
89,12307,"Lichtenrade,Marienfelde"
90,12309,Lichtenrade
91,12347,Britz
92,12349,"Britz,Buckow"
93,12351,"Britz,Buckow,Rudow"
94,12353,"Buckow,Rudow"
95,12355,Rudow
96,12357,"Buckow,Rudow"
