,PLZ,Ortsteil
0,10115,Mitte
1,10117,Mitte
2,10119,Mitte
3,10178,Mitte
4,10179,Mitte
5,10243,Friedrichshain
6,10243,Friedrichshain
7,10247,Friedrichshain
8,10247,Prenzlauer Berg
9,10249,Friedrichshain
10,10249,Prenzlauer Berg
11,10315,Friedrichsfelde
12,10317,Friedrichsfelde
13,10317,Lichtenberg
14,10317,Rummelsburg
15,10318,Friedrichsfelde
16,10318,Karlshorst
17,10319,Friedrichsfelde
18,10365,Lichtenberg
19,10367,Lichtenberg
20,10369,Lichtenberg
21,10405,Prenzlauer Berg
22,10407,Prenzlauer Berg
23,10409,Prenzlauer Berg
24,10435,Mitte
25,10435,Prenzlauer Berg
26,10437,Prenzlauer Berg
27,10439,Pankow
28,10439,Prenzlauer Berg
29,10551,Tiergarten
30,10553,Tiergarten
31,10555,Tiergarten
32,10557,Tiergarten
33,10559,Tiergarten
34,10585,Charlottenburg
35,10587,Charlottenburg
36,10589,Charlottenburg
37,10623,Charlottenbrg. (City-West)
38,10625,Charlottenbrg. (City-West)
39,10627,Charlottenbrg. (City-West)
40,10629,Charlottenbrg. (City-West)
41,10707,Charlottenburg
42,10707,Wilmersdorf
43,10709,Charlottenburg
44,10709,Wilmersdorf
45,10711,Charlottenburg
46,10711,Grunewald
47,10711,Wilmersdorf
48,10713,Wilmersdorf
49,10715,Wilmersdorf
50,10717,Wilmersdorf
51,10719,Wilmersdorf
52,10719,Charlottenburg
53,10777,Wilmersdorf
54,10777,Schöneberg
55,10779,Schöneberg
56,10779,Wilmersdorf
57,10781,Schöneberg
58,10783,Schöneberg
59,10785,Kreuzberg
60,10785,Schöneberg
61,10785,Tiergarten
62,10787,Charlottenburg
63,10787,Schöneberg
64,10787,Tiergarten
65,10789,Charlottenburg
66,10789,Schöneberg
67,10789,Wilmersdorf
68,10823,Schöneberg
69,10825,Schöneberg
70,10825,Wilmersdorf
71,10827,Friedenau
72,10827,Schöneberg
73,10829,Schöneberg
74,10961,Kreuzberg
75,10963,Kreuzberg
76,10963,Tiergarten
77,10965,Kreuzberg
78,10965,Schöneberg
79,10965,Tempelhof
80,10965,Neukölln
81,10967,Kreuzberg
82,10967,Neukölln
83,10969,Kreuzberg
84,10997,Kreuzberg
85,10999,Kreuzberg
86,12043,Neukölln
87,12045,Neukölln
88,12047,Neukölln
89,12049,Neukölln
90,12051,Neukölln
91,12053,Neukölln
92,12055,Neukölln
93,12057,Neukölln
94,12059,Neukölln
95,12099,Britz
96,12099,Mariendorf
97,12099,Neukölln
98,12099,Tempelhof
99,12101,Tempelhof
100,12103,Mariendorf
101,12103,Schöneberg
102,12103,Tempelhof
103,12105,Schöneberg
104,12105,Tempelhof
105,12105,Mariendorf
106,12107,Lichtenrade
107,12107,Mariendorf
108,12107,Marienfelde
109,12107,Tempelhof
110,12107,Buckow
111,12109,Tempelhof
112,12109,Mariendorf
113,12157,Friedenau
114,12157,Schöneberg
115,12157,Steglitz
116,12159,Friedenau
117,12159,Schöneberg
118,12161,Friedenau
119,12161,Steglitz
120,12163,Friedenau
121,12163,Steglitz
122,12165,Steglitz
123,12167,Steglitz
124,12169,Steglitz
125,12203,Lichterfelde
126,12205,Lichterfelde
127,12207,Lichterfelde
128,12209,Lichterfelde
129,12247,Lankwitz
130,12247,Steglitz
131,12249,Lankwitz
132,12277,Mariendorf
133,12277,Marienfelde
134,12279,Lichterfelde
